,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
0,Bauhauptgewerbe,Auftragseingänge,2021,Summe,234063.0,793125.0,,-70.49,
1,Bauhauptgewerbe,Auftragseingänge,2021,202101,62306.0,100341.0,-34.39,-37.91,62924.0
2,Bauhauptgewerbe,Auftragseingänge,2021,202102,86881.0,49425.0,39.44,75.78,66046.0
3,Bauhauptgewerbe,Auftragseingänge,2021,202103,84876.0,90938.0,-2.31,-6.67,65540.0
4,Bauhauptgewerbe,Auftragseingänge,2021,202104,,52372.0,,,
5,Bauhauptgewerbe,Auftragseingänge,2021,202105,,65089.0,,,
6,Bauhauptgewerbe,Auftragseingänge,2021,202106,,49313.0,,,
7,Bauhauptgewerbe,Auftragseingänge,2021,202107,,81265.0,,,
8,Bauhauptgewerbe,Auftragseingänge,2021,202108,,44364.0,,,
9,Bauhauptgewerbe,Auftragseingänge,2021,202109,,65770.0,,,
10,Bauhauptgewerbe,Auftragseingänge,2021,202110,,45981.0,,,
11,Bauhauptgewerbe,Auftragseingänge,2021,202111,,53310.0,,,
12,Bauhauptgewerbe,Auftragseingänge,2021,202112,,94957.0,,,
13,Bauhauptgewerbe,Auftragseingänge,2020,Summe,793125.0,1054096.0,,-24.76,
14,Bauhauptgewerbe,Auftragseingänge,2020,202001,100341.0,87369.0,36.43,14.85,88922.0
15,Bauhauptgewerbe,Auftragseingänge,2020,202002,49425.0,111184.0,-50.74,-55.55,83776.0
16,Bauhauptgewerbe,Auftragseingänge,2020,202003,90938.0,50245.0,83.99,80.99,87167.0
17,Bauhauptgewerbe,Auftragseingänge,2020,202004,52372.0,102190.0,-42.41,-48.75,83015.0
18,Bauhauptgewerbe,Auftragseingänge,2020,202005,65089.0,61969.0,24.28,5.03,83275.0
19,Bauhauptgewerbe,Auftragseingänge,2020,202006,49313.0,131982.0,-24.24,-62.64,76386.0
20,Bauhauptgewerbe,Auftragseingänge,2020,202007,81265.0,72932.0,64.79,11.43,77081.0
21,Bauhauptgewerbe,Auftragseingänge,2020,202008,44364.0,196153.0,-45.41,-77.38,64432.0
22,Bauhauptgewerbe,Auftragseingänge,2020,202009,65770.0,74629.0,48.25,-11.87,63693.0
23,Bauhauptgewerbe,Auftragseingänge,2020,202010,45981.0,39167.0,-30.09,17.4,64261.0
24,Bauhauptgewerbe,Auftragseingänge,2020,202011,53310.0,52726.0,15.94,1.11,64310.0
25,Bauhauptgewerbe,Auftragseingänge,2020,202012,94957.0,73550.0,78.12,29.11,66094.0
26,Bauhauptgewerbe,Auftragseingänge,2019,Summe,1054096.0,1418018.0,,-25.66,
27,Bauhauptgewerbe,Auftragseingänge,2019,201901,87369.0,39806.0,-75.96,119.49,122132.0
28,Bauhauptgewerbe,Auftragseingänge,2019,201902,111184.0,72346.0,27.26,53.68,125368.0
29,Bauhauptgewerbe,Auftragseingänge,2019,201903,50245.0,53168.0,-54.81,-5.5,125125.0
30,Bauhauptgewerbe,Auftragseingänge,2019,201904,102190.0,97194.0,103.38,5.14,125541.0
31,Bauhauptgewerbe,Auftragseingänge,2019,201905,61969.0,62615.0,-39.36,-1.03,125487.0
32,Bauhauptgewerbe,Auftragseingänge,2019,201906,131982.0,72816.0,112.98,81.25,130418.0
33,Bauhauptgewerbe,Auftragseingänge,2019,201907,72932.0,80536.0,-44.74,-9.44,129784.0
34,Bauhauptgewerbe,Auftragseingänge,2019,201908,196153.0,88777.0,168.95,120.95,138732.0
35,Bauhauptgewerbe,Auftragseingänge,2019,201909,74629.0,75052.0,-61.95,-0.56,138697.0
36,Bauhauptgewerbe,Auftragseingänge,2019,201910,39167.0,239804.0,-47.52,-83.67,121977.0
37,Bauhauptgewerbe,Auftragseingänge,2019,201911,52726.0,172502.0,34.62,-69.43,111996.0
38,Bauhauptgewerbe,Auftragseingänge,2019,201912,73550.0,363402.0,39.49,-79.76,87841.0
39,Bauhauptgewerbe,Auftragseingänge,2018,Summe,1418018.0,944852.0,,50.08,
40,Bauhauptgewerbe,Auftragseingänge,2018,201801,39806.0,52780.0,-64.51,-24.58,77657.0
41,Bauhauptgewerbe,Auftragseingänge,2018,201802,72346.0,66473.0,81.75,8.84,78146.0
42,Bauhauptgewerbe,Auftragseingänge,2018,201803,53168.0,68437.0,-26.51,-22.31,76874.0
43,Bauhauptgewerbe,Auftragseingänge,2018,201804,97194.0,56092.0,82.81,73.28,80299.0
44,Bauhauptgewerbe,Auftragseingänge,2018,201805,62615.0,80553.0,-35.58,-22.27,78804.0
45,Bauhauptgewerbe,Auftragseingänge,2018,201806,72816.0,102924.0,16.29,-29.25,76295.0
46,Bauhauptgewerbe,Auftragseingänge,2018,201807,80536.0,45278.0,10.6,77.87,79233.0
47,Bauhauptgewerbe,Auftragseingänge,2018,201808,88777.0,58694.0,10.23,51.25,81740.0
48,Bauhauptgewerbe,Auftragseingänge,2018,201809,75052.0,101422.0,-15.46,-26.0,79542.0
